Geographic Area,City,Median Income
TX,Merkel town,34460
AL,Horn Hill town,34464
AK,Ouzinkie city,34464
CA,Westwood CDP,34464
MI,Sand Lake village,34464
NE,Verdigre village,34464
NC,Momeyer town,34464
TX,Aspermont town,34464
VT,Canaan CDP,34464
WV,Jane Lew town,34464
TX,Harlingen city,34466
ID,Rupert city,34468
WV,Chapmanville town,34469
GA,Country Club Estates CDP,34471
NY,Phoenix village,34476
IN,Plymouth city,34478
TN,Minor Hill city,34479
TX,Mikes CDP,34479
PA,Coraopolis borough,34483
IL,Brookport city,34485
NC,Mulberry CDP,34491
MO,Owensville city,34494
AR,Wilmar city,34500
IN,Clay City town,34500
KS,La Harpe city,34500
KS,Whiting city,34500
MO,Delta city,34500
MO,Golden CDP,34500
MO,Parnell city,34500
NE,Dunbar village,34500
ND,Mandaree CDP,34500
OH,Frankfort village,34500
OH,Hollansburg village,34500
TX,Tivoli CDP,34500
VA,Powhatan CDP,34500
WV,Chester city,34508
LA,St. James CDP,34511
OH,Akron city,34512
GA,Lakeview CDP,34514
GA,Culloden city,34519
NM,Loving village,34519
IN,South Bend city,34523
AR,Smackover city,34524
MI,St. Louis city,34524
MN,International Falls city,34528
AZ,San Simon CDP,34531
AR,Fourche town,34531
KS,Geneseo city,34531
WI,Argonne CDP,34531
LA,Vidalia town,34533
FL,University CDP (Orange County),34538
WA,Deep River CDP,34539
FL,Manatee Road CDP,34542
LA,Roanoke CDP,34545
MI,Eastlake village,34545
OK,Wilburton city,34545
VT,West Burke village,34545
CO,Pueblo city,34550
AL,Brookside town,34554
PA,Smock CDP,34554
MI,St. Ignace city,34555
IL,Havana city,34557
CA,Chowchilla city,34559
OH,South Zanesville village,34559
MO,Monroe City city,34562
CA,Marysville city,34566
MI,Corunna city,34566
AR,Walnut Ridge city,34567
TX,Rockdale city,34567
KS,South Hutchinson city,34568
TX,Hudson city,34570
WV,Piney View CDP,34572
IN,Mitchell city,34576
LA,Alexandria city,34579
AL,Bayou La Batre city,34583
AK,Kipnuk CDP,34583
GA,Kite city,34583
IL,Ina village,34583
IN,Bunker Hill town,34583
IN,Cadiz town,34583
IN,Crane town,34583
IA,Cantril city,34583
IA,Washta city,34583
KS,Elgin city,34583
MI,Prescott village,34583
NE,Leshara village,34583
ND,Hague city,34583
OH,Lockbourne village,34583
OH,Richmond Dale CDP,34583
OH,Washingtonville village,34583
OK,Castle town,34583
PA,New Eagle borough,34583
SC,Olar town,34583
TN,Normandy town,34583
TX,Palo Pinto CDP,34583
WV,Fairview town,34583
WI,Grand View CDP,34583
WI,Mattoon village,34583
IL,Fairfield city,34596
FL,Haines City city,34598
NC,Goldsboro city,34598
NC,Roanoke Rapids city,34600
MA,Orleans CDP,34604
CA,Sonora city,34605
IA,Woodburn city,34605
MI,Crystal Falls city,34609
OH,Green Springs village,34609
KY,Hopkinsville city,34614
AL,Belle Fontaine CDP,34615
AR,Sweet Home CDP,34615
CO,Holly town,34615
IL,Hooppole village,34615
NC,Vander CDP,34615
ND,Pisek city,34615
SC,Conway city,34615
KS,Herington city,34620
OK,Latta CDP,34620
KS,Westphalia city,34625
MT,Pinesdale town,34625
NC,Saratoga town,34625
NC,Weldon town,34625
OR,Burns city,34627
WV,Moundsville city,34628
NC,Walnut Cove town,34630
AL,Fayetteville CDP,34632
CA,Paynes Creek CDP,34643
GA,Woodville city,34643
NM,Red River town,34643
WI,Colfax village,34643
VA,Henry Fork CDP,34649
MI,Ionia city,34653
NY,Pike CDP,34653
NC,Grover town,34653
OH,Jackson city,34655
IL,De Land village,34659
TX,Indian Hills CDP,34662
MI,Manton city,34667
NC,Connelly Springs town,34674
MO,Carthage city,34678
NY,St. Johnsville village,34679
MS,Escatawpa CDP,34681
MS,Waveland city,34681
AL,Loachapoka town,34688
IA,Lorimor city,34688
KS,Robinson city,34688
KY,Burgin city,34688
KY,West Liberty city,34688
MO,Union Star town,34688
MT,Trego CDP,34688
NC,Mountain Home CDP,34688
OH,Flushing village,34688
PA,Blanchard CDP,34688
PA,New Brighton borough,34688
PA,Pleasantville borough (Bedford County),34688
AR,Southside city,34694
AL,Opp city,34695
TX,Wortham town,34698
FL,Crooked Lake Park CDP,34700
SC,Clemson city,34700
OH,Vincent CDP,34702
MO,Boonville city,34705
PA,Luzerne borough,34705
MD,Federalsburg town,34707
TX,Pharr city,34708
AL,Hillsboro town,34712
CO,Walsh town,34712
PA,Coatesville city,34716
WY,Dubois town,34716
IN,Westphalia CDP,34722
MI,Millington village,34722
TN,Lynnville town,34722
TX,Waskom city,34722
VA,Gate City town,34722
CA,Orosi CDP,34724
MI,Alanson village,34727
MA,Springfield city,34728
FL,Grand Ridge town,34732
MI,Kaleva village,34732
NC,Coats town,34732
KY,Newport city,34734
IN,Cambridge City town,34735
CA,Calexico city,34742
MI,Bay City city,34743
VA,Covington city,34746
CO,Peetz town,34750
FL,Campbellton town,34750
GA,Geneva town,34750
IA,Bedford city,34750
KS,Parkerville city,34750
MN,Clarissa city,34750
MN,Frost city,34750
MO,Wyaconda city,34750
OK,Sparks town,34750
PA,Donora borough,34750
TN,Liberty town,34750
WI,Maiden Rock village,34750
TX,Homestead Meadows South CDP,34753
IL,Danville city,34756
TX,Elm Creek CDP,34757
AL,Montevallo city,34760
FL,Yeehaw Junction CDP,34766
KY,Beechmont CDP,34766
NC,Dallas town,34770
MI,Belding city,34778
NE,Fairfield city,34779
TX,Schulenburg city,34781
NJ,Leisure Village West CDP,34782
TX,Bloomington CDP,34787
AL,Anderson town,34792
IN,Troy town,34792
MD,Cecilton town,34792
OH,McGuffey village,34792
OR,Wimer CDP,34792
PA,Benton borough,34792
SC,Hilda town,34792
TX,Angus city,34792
TX,Bovina city,34792
WI,Whittlesey CDP,34792
IA,Marquette city,34808
NY,Three Mile Bay CDP,34808
CO,Dolores town,34813
GA,Calhoun city,34814
KY,Cannonsburg CDP,34815
TX,Ballinger city,34817
AR,Moro town,34821
MI,Marenisco CDP,34821
MO,Waverly city,34821
NE,Ewing village,34821
NY,Newport village,34821
NC,Grantsboro town,34821
OK,McCurtain town,34821
TX,Frost city,34821
WA,Fairfield town,34821
PA,Minersville borough,34825
MS,Moss Point city,34831
CA,Isleton city,34833
MT,Cut Bank city,34833
TN,Sevierville city,34833
PA,Tharptown (Uniontown) CDP,34837
AR,Emmet city,34844
IL,Basco village,34844
PA,Ehrenfeld borough,34844
WV,Craigsville CDP,34844
WV,Grafton city,34844
GA,Jackson city,34846
MO,Spanish Lake CDP,34850
MA,Lawrence city,34852
NM,Sausal CDP,34853
MI,Wolf Lake CDP,34863
NC,Calabash town,34865
SC,Burnettown town,34865
LA,Columbia town,34868
OH,Bethesda village,34871
GA,Rome city,34874
AR,Blevins city,34875
ID,Potlatch city,34875
IL,Christopher city,34875
KS,Humboldt city,34875
WV,Peterstown town,34875
KY,Henderson city,34879
NY,St. Bonaventure CDP,34883
AL,Mulga town,34886
GA,White Plains city,34886
PA,Emporium borough,34886
CA,Huntington Park city,34887
AL,Fairfield city,34890
OK,Muskogee city,34894
CA,East Orosi CDP,34896
OR,Wheeler city,34896
MO,Buffalo city,34898
IN,La Porte city,34900
NC,Belvoir CDP,34900
NJ,Woodbine borough,34906
KS,Goodland city,34909
CA,Biggs city,34911
MO,Madison city,34911
NE,Rushville city,34911
OK,Colbert town,34911
PA,Sutersville borough,34911
IL,Bushnell city,34912
ME,Madawaska CDP,34916
MT,Hardin city,34917
NE,Hay Springs village,34917
NC,Butters CDP,34917
OH,Bloomingburg village,34922
MS,Picayune city,34923
SD,Sisseton city,34929
IA,Hamburg city,34931
PA,Penns Creek CDP,34931
PA,Leechburg borough,34933
VA,Waverly town,34934
IN,Rushville city,34942
WV,Reedsville town,34943
WV,Beckley city,34944
NC,Mar-Mac CDP,34945
MN,Spring Grove city,34946
TN,Dyersburg city,34948
WI,Loyal city,34948
MS,Ashland town,34950
OR,Vale city,34950
MI,Union City village,34952
AL,Roanoke city,34956
SD,Wagner city,34958
MT,Absarokee CDP,34961
TN,Mount Pleasant city,34963
GA,Union City city,34966
MI,Ishpeming city,34971
WV,Bluefield city,34972
WY,Wheatland town,34984
KS,Fort Riley CDP,34993
AL,Myrtlewood town,35000
AL,Snead town,35000
AK,Nikolski CDP,35000
AZ,Cameron CDP,35000
AZ,McNary CDP,35000
AR,Belleville city,35000
AR,Center Ridge CDP,35000
AR,Perrytown town,35000
AR,Pollard city,35000
AR,Taylor city,35000
AR,Whelen Springs town,35000
CA,Riverdale Park CDP,35000
FL,East Palatka CDP,35000
FL,Montura CDP,35000
FL,Paradise Heights CDP,35000
FL,Samoset CDP,35000
GA,Danville town,35000
GA,Gumbranch city,35000
GA,Lyerly town,35000
GA,Portal town,35000
ID,Bovill city,35000
IL,Barry city,35000
IL,Dover village,35000
IL,Jeffersonville village,35000
IL,Meredosia village,35000
IL,Omaha village,35000
IL,Williamson village,35000
IN,Mecca town,35000
IN,Vevay town,35000
IA,Bradgate city,35000
IA,Kinross city,35000
IA,Linden city,35000
IA,Nodaway city,35000
KS,Barnard city,35000
KS,Howard city,35000
KS,Mildred city,35000
KY,Bromley city,35000
MI,Attica CDP,35000
MI,Clayton village,35000
MN,Bellingham city,35000
MN,Ceylon city,35000
MN,Ogema city,35000
MN,Staples city,35000
MN,Tintah city,35000
MN,Westport city,35000
MO,Amazonia village,35000
MO,Elmira village,35000
MO,Granger village,35000
MO,Malta Bend town,35000
MO,Millard village,35000
MO,Morrison city,35000
MO,Rosendale city,35000
MO,Watson village,35000
MT,Roundup city,35000
NE,Bloomfield city,35000
NE,Naper village,35000
NY,Lyon Mountain CDP,35000
NC,Ashley Heights CDP,35000
NC,Peachland town,35000
ND,Inkster city,35000
OH,Martinsville village,35000
OH,Rogers village,35000
OK,Avant town,35000
OK,Newkirk city,35000
OK,Sawyer town,35000
PA,Millbourne borough,35000
PA,Orchard Hills CDP,35000
PA,Saxton borough,35000
SD,Hetland town,35000
SD,Oldham city,35000
TN,Vanleer town,35000
TX,Benjamin city,35000
TX,Springlake town,35000
VA,Gordonsville town,35000
VA,Wachapreague town,35000
WV,Wardensville town,35000
WI,Lohrville village,35000
MO,Hanley Hills village,35028
SC,St. George town,35031
NY,Holley village,35034
OH,Lorain city,35042
NY,Gloversville city,35044
IL,Carbon Cliff village,35045
NJ,Leisuretowne CDP,35045
OH,Rose Farm CDP,35045
CA,Challenge-Brownsville CDP,35046
VA,Bedford town,35049
MO,Miller city,35052
AL,Kennedy town,35054
MO,Granby city,35058
KY,Whitesburg city,35060
TX,Skidmore CDP,35060
AR,Norfork city,35066
FL,Seminole Manor CDP,35068
PA,Finleyville borough,35069
TX,Gordon city,35069
TX,Granite Shoals city,35070
FL,Sky Lake CDP,35071
GA,Dalton city,35074
OR,Milton-Freewater city,35076
OR,Sweet Home city,35076
NY,Belfast CDP,35078
NC,Hightsville CDP,35078
OH,Ansonia village,35078
CO,Log Lane Village town,35083
KS,Chase city,35089
MO,Rosebud city,35089
TX,Joaquin city,35089
AR,Fort Smith city,35096
IN,Hillsboro town,35096
NM,Melrose village,35096
SD,Wessington city,35096
TN,Mosheim town,35097
AZ,Springerville town,35104
MS,Mathiston town,35114
OH,Hessville CDP,35114
SC,Wedgefield CDP,35114
WI,Dellwood CDP,35114
TN,Dunlap city,35119
WA,Odessa town,35119
LA,Lake Arthur town,35121
GA,White city,35125
ID,St. Maries city,35125
IN,Oakland City city,35125
PA,South Renovo borough,35125
SC,Spartanburg city,35126
OK,Mangum city,35130
CA,Planada CDP,35139
IL,Percy village,35139
KY,Powderly city,35139
NE,Walthill village,35139
OK,Webb City town,35139
FL,Cleveland CDP,35142
PA,Pittston city,35146
KY,Sedalia CDP,35156
NE,Harrison village,35156
OK,Glencoe town,35156
LA,Minorca CDP,35162
TN,Lenoir City city,35163
IL,East Cape Girardeau village,35167
MI,Pellston village,35170
NC,Erwin town,35170
NY,Gouverneur village,35175
GA,Rebecca town,35179
NE,Farwell village,35179
OH,Lodi village,35179
OK,Wanette town,35179
OH,Warrensville Heights city,35181
TX,Meridian city,35188
NC,Pineville town,35191
CO,Crawford town,35192
NY,Randolph CDP,35192
SC,Society Hill town,35192
WV,Meadow Bridge town,35192
PA,Tioga borough,35200
PA,Washington city,35204
AR,Gillham town,35208
FL,Glen St. Mary town,35208
ID,Moyie Springs city,35208
IN,Ambia town,35208
MT,Little Browning CDP,35208
NC,Elm City town,35208
OH,Chilo village,35208
WI,Gilman village,35208
VA,Bensley CDP,35212
MA,Fall River city,35213
NM,Hernandez CDP,35214
OK,Dewey city,35223
UT,Escalante city,35227
AL,West End-Cobb Town CDP,35233
KS,Cedar Vale city,35238
NY,Sherman village,35238
TX,Omaha city,35238
WV,Cowen town,35240
CA,Vina CDP,35250
IL,Spillertown village,35250
KS,Altoona city,35250
MO,Stark City town,35250
NY,Sodus village,35250
OK,St. Louis town,35250
OK,Stuart town,35250
WA,Marcus town,35250
WV,Handley town,35250
FL,Eustis city,35265
KY,Warsaw city,35265
VA,Woodstock town,35267
CA,Jamestown CDP,35268
MN,Erskine city,35268
NC,West Marion CDP,35268
PA,Girardville borough,35272
GA,De Soto city,35278
KS,Linn city,35278
MO,Hermann city,35278
OH,Danville village,35278
VA,Bracey CDP,35278
WA,Malott CDP,35286
MT,Harrison CDP,35288
NY,Sherburne village,35288
NM,Ranchos de Taos CDP,35293
SC,Woodfield CDP,35293
ME,East Millinocket CDP,35294
NM,Logan village,35294
NC,Castle Hayne CDP,35294
MO,Maplewood city,35298
GA,Adel city,35301
AL,Nectar town,35313
AR,Okolona town,35313
CA,French Camp CDP,35313
ID,Dubois city,35313
IN,Geneva town,35313
IA,Mingo city,35313
KY,Falmouth city,35313
MN,Karlstad city,35313
MO,Carterville city,35313
NE,Bartlett village,35313
NE,Dunning village,35313
NE,Edison village,35313
OH,Darbyville village,35313
OK,Faxon town,35313
OK,Kendrick town,35313
PA,Jamison City CDP,35313
PA,Lancaster city,35313
SD,Gary city,35313
WI,Kendall village,35313
OH,Newcomerstown village,35317
NY,Lyons village,35318
KY,Westwood CDP,35321
MO,Marceline city,35326
AR,Berryville city,35327
OK,Ada city,35330
MI,Scottville city,35333
OH,Gallipolis village,35334
FL,Christmas CDP,35341
KS,Bronson city,35341
AR,Stuttgart city,35349
NY,Lackawanna city,35352
MD,Cambridge city,35354
AZ,Shonto CDP,35357
FL,Gardner CDP,35357
IN,Laketon CDP,35357
KS,Summerfield city,35357
NM,Cimarron village,35357
NC,Youngsville town,35357
OH,Dresden village,35357
OK,Cloud Creek CDP,35357
PA,Canton borough,35357
WV,Valley Grove village,35357
NH,Jaffrey CDP,35360
IL,Rock Falls city,35361
KY,North Corbin CDP,35363
AL,Chatom town,35365
AR,Danville city,35365
MS,De Kalb town,35366
VA,Bristol city,35368
IN,Elkhart city,35371
AL,Webb town,35375
MI,Lake Linden village,35375
MO,Atlanta city,35375
OR,Malin city,35375
VA,Tasley CDP,35375
IL,Kinmundy city,35385
KY,Ravenna city,35385
MD,Grantsville town,35385
MS,Mississippi Valley State University CDP,35385
TX,Queen City city,35387
SC,Woodruff city,35389
PA,Rochester borough,35391
FL,Zephyrhills West CDP,35394
MS,Amory city,35394
NC,Liberty town,35398
SC,Ridgeland town,35405
KS,Eureka city,35408
AR,Lamar city,35411
AR,Ulm town,35417
CA,Miranda CDP,35417
IL,Greenfield city,35417
IL,Keithsburg city,35417
IL,Lake Ka-Ho village,35417
IN,Kingsford Heights town,35417
IN,Redkey town,35417
IA,Oxford Junction city,35417
MN,Bejou city,35417
MS,Enterprise town,35417
MS,Glen town,35417
MO,Hurdland city,35417
NE,Bartley village,35417
NM,Santa Clara Pueblo CDP,35417
NC,Godwin town,35417
ND,Aneta city,35417
ND,Pillsbury city,35417
OH,Barnesville village,35417
OH,West Salem village,35417
PA,Shirleysburg borough,35417
PA,Slabtown CDP,35417
SD,Deadwood city,35417
TX,Kosse town,35417
WA,Baring CDP,35417
WI,Merrillan village,35417
WV,Newell CDP,35424
MO,Macon city,35428
MI,Three Rivers city,35430
WA,Wilbur town,35433
AR,Altheimer city,35438
NC,Denton town,35438
WV,Salem city,35438
TN,Alamo town,35441
AZ,Gisela CDP,35444
PA,Berwick borough,35445
IN,Shirley town,35446
KY,Benham city,35446
PA,Monessen city,35447
WV,Parsons city,35450
CA,Gridley city,35455
IN,Vincennes city,35455
MS,D'Lo town,35455
WI,Taylor village,35455
FL,Vernon city,35458
PA,Fairdale CDP,35458
MO,Ste. Genevieve city,35462
CA,Thermalito CDP,35464
AR,Norphlet city,35469
LA,Pollock town,35469
ME,Dover-Foxcroft CDP,35469
MO,Ewing city,35469
WV,Alum Creek CDP,35469
WI,Wild Rose village,35469
TX,Van Horn town,35474
IL,McLeansboro city,35476
OH,New Marshfield CDP,35476
OH,Whitehall city,35476
GA,Dahlonega city,35477
VA,Victoria town,35478
OH,Bucyrus city,35480
PA,Nanticoke city,35481
CO,Lamar city,35487
OH,Euclid city,35487
PA,East Uniontown CDP,35491
FL,Holden Heights CDP,35495
AK,Sutton-Alpine CDP,35500
AZ,Gila Crossing CDP,35500
CA,Armona CDP,35500
IA,Ute city,35500
KS,Elwood city,35500
KS,Liebenthal city,35500
KY,New Haven city,35500
MO,De Soto city,35500
MO,Foley city,35500
MO,Garden City city,35500
PA,Canadohta Lake CDP,35500
WV,Milton town,35500
WI,Aniwa village,35500
IN,Michigan City city,35503
MT,Turtle Lake CDP,35508
AL,Slocomb city,35512
OH,Milford city,35516
AL,Lexington town,35521
NY,DeRuyter village,35521
PA,Commodore CDP,35521
NH,Berlin city,35523
OH,Bolindale CDP,35530
ME,Caribou city,35532
IL,Vergennes village,35536
IA,Manilla city,35536
MO,Bolckow city,35536
MO,Kidder city,35536
NM,Cuyamungue Grant CDP,35536
NC,Pantego town,35536
OK,Spiro town,35536
SC,Rowesville town,35536
SD,Mound City town,35536
AR,Russellville city,35541
IN,Monon town,35542
KS,Cottonwood Falls city,35547
GA,Fort Stewart CDP,35550
CA,Oildale CDP,35552
NC,Thomasville city,35554
MO,Bellefontaine Neighbors city,35556
NY,Watkins Glen village,35556
VA,Shipman CDP,35556
MI,Coldwater city,35560
SC,Lydia CDP,35560
AL,Bear Creek town,35563
MI,Lansing city,35563
PA,West Decatur CDP,35563
NY,East Syracuse village,35566
CO,Mountain Village town,35568
ID,Shoshone city,35568
MI,Mayville village,35568
NC,Trenton town,35568
OH,Freeport village,35568
SC,Hampton town,35568
IL,Olive Branch CDP,35577
GA,Hartwell city,35581
CA,Maywood city,35582
VA,Blackstone town,35591
WV,Addison (Webster Springs) town,35595
MO,St. Louis city,35599
PA,Franklin city,35602
KY,Bowling Green city,35604
NE,Superior city,35605
MO,Tarkio city,35606
WI,Ladysmith city,35606
CA,Arvin city,35609
SC,Seneca city,35609
MN,Bemidji city,35610
NC,Reidsville city,35617
OH,Kent city,35619
TX,Muleshoe city,35619
AL,Fruithurst town,35625
AZ,Arizona Village CDP,35625
AZ,Gu Oidak CDP,35625
AZ,Mammoth town,35625
AR,Buckner city,35625
AR,Oil Trough town,35625
AR,Tupelo town,35625
CA,Macdoel CDP,35625
FL,South Highpoint CDP,35625
GA,Leary city,35625
ID,Hansen city,35625
IL,Calhoun village,35625
IL,Palmyra village,35625
IL,Pittsburg village,35625
IL,Wilmington village,35625
IN,Mount Ayr town,35625
IN,Paragon town,35625
IA,Conway city,35625
IA,Durango city,35625
IA,Kiron city,35625
IA,Rutland city,35625
IA,Terril city,35625
MD,Sudlersville town,35625
MI,Lake Michigan Beach CDP,35625
MO,Vanduser village,35625
MT,Judith Gap city,35625
MT,Yaak CDP,35625
NE,Rockville village,35625
NE,Swanton village,35625
NH,Colebrook CDP,35625
NY,Edwards CDP,35625
NC,Orrum town,35625
NC,Polkville city,35625
ND,Elgin city,35625
OH,Belle Valley village,35625
OK,Greenfield town,35625
OK,Lehigh city,35625
OK,Mounds town,35625
PA,Atlantic CDP,35625
PA,Roulette CDP,35625
SD,Egan city,35625
TX,Big Sandy town,35625
TX,Driscoll city,35625
UT,Hanksville town,35625
VA,Brodnax town,35625
WI,Catawba village,35625
WI,Union Center village,35625
WI,Wheeler village,35625
TX,Littlefield city,35642
GA,Dooling town,35644
TN,Troy town,35645
IL,Colchester city,35647
AR,Palestine city,35648
VA,Cana CDP,35648
MI,Mount Clemens city,35653
PA,Harrison City CDP,35655
TX,Atlanta city,35657
OH,Kenton city,35659
KY,Covington city,35664
SD,McLaughlin city,35667
NM,San Miguel CDP,35669
AL,Ardmore town,35670
AZ,Apache Junction city,35671
OR,Lakeview town,35672
PA,Marianna borough,35673
ME,Bangor city,35674
VA,Craigsville town,35676
FL,Naples Manor CDP,35682
GA,Santa Claus city,35682
MN,Swanville city,35682
NC,Roseboro town,35682
MS,Crystal Springs city,35685
OH,Wellston city,35685
TX,Hallettsville city,35687
CA,Good Hope CDP,35688
PA,Curwensville borough,35689
OR,Klamath Falls city,35690
PA,Edwardsville borough,35693
MD,Friendsville town,35694
MN,Sacred Heart city,35694
WV,Ellenboro town,35694
FL,Brookridge CDP,35696
FL,Fussels Corner CDP,35698
TN,Union City city,35698
CO,Silverton town,35699
MD,Crellin CDP,35699
WA,Sunnyside city,35699
TN,Robbins CDP,35700
TX,Marshall city,35702
MN,Twin Valley city,35703
TX,Quinlan city,35707
NY,Webster village,35708
ID,Pinehurst city,35714
KS,Esbon city,35714
KS,Muscotah city,35714
MS,Algoma town,35714
NC,Belwood town,35714
OH,Montezuma village,35714
PA,Marion Heights borough,35714
ME,Madison CDP,35718
FL,Zellwood CDP,35724
WA,Carson CDP,35727
FL,Bristol city,35729
MN,Westbrook city,35729
PA,Longfellow CDP,35729
TX,Trinidad city,35729
WI,Prentice village,35729
AL,Florence city,35731
CO,Sterling city,35732
IL,Mason City city,35735
LA,Olla town,35735
AR,Bull Shoals city,35737
MO,Sugar Creek city,35738
PA,Tamaqua borough,35741
NJ,Holiday City South CDP,35743
ID,Council city,35750
KS,Bazine city,35750
KS,Mound Valley city,35750
MI,St. James CDP,35750
MT,Pray CDP,35750
NY,Smyrna village,35750
OK,New Alluwe town,35750
SD,Bancroft town,35750
TX,Bedias city,35750
TX,Hale Center city,35750
VA,Lebanon town,35750
VA,Mount Jackson town,35750
WA,Queets CDP,35750
NM,Zuni Pueblo CDP,35752
FL,Beacon Square CDP,35763
TX,Seven Points city,35764
VT,Windsor CDP,35766
IA,Titonka city,35769
VA,Clifton Forge town,35769
WA,Union Gap city,35777
AZ,Black Canyon City CDP,35781
GA,Waco city,35781
KS,Colony city,35781
ME,Mechanic Falls CDP,35781
NC,Cameron town,35781
OH,Addyston village,35781
PA,Plymouth borough,35781
TX,Mount Vernon town,35781
MO,Seneca city,35783
IN,Evansville city,35785
WV,Westover city,35792
KY,Dayton city,35794
MI,Prudenville CDP,35794
IL,Thompsonville village,35795
MO,Mercer town,35795
NC,Edneyville CDP,35795
PA,Oakland CDP (Lawrence County),35795
TN,Tullahoma city,35798
MO,St. Ann city,35803
IL,New Haven village,35809
MI,Springfield city,35810
KS,Parsons city,35818
SD,Sturgis city,35818
MO,Rolla city,35819
ID,Burley city,35820
SC,Landrum city,35823
KY,Bardstown city,35825
PA,Williamsport city,35826
AK,Nunapitchuk city,35833
AR,Calion city,35833
AR,Cove town,35833
CA,Cabazon CDP,35833
GA,Ila city,35833
GA,Jakin city,35833
IL,Coffeen city,35833
IL,Rankin village,35833
IL,White Hall city,35833
IN,Macy town,35833
IN,Tennyson town,35833
IA,Lineville city,35833
MI,Parkdale CDP,35833
MO,Martinsburg town,35833
NE,Burchard village,35833
NM,Dulce CDP,35833
NM,Floyd village,35833
NC,Lucama town,35833
OK,Kiowa town,35833
PA,Athens borough,35833
PA,Blawnox borough,35833
PA,Marienville CDP,35833
TX,Bellevue city,35833
TX,Morgan city,35833
TX,Nixon city,35833
VA,Burkeville town,35833
WV,Big Sandy CDP,35833
WI,Exeland village,35833
MO,Holden city,35848
NY,Durhamville CDP,35852
WI,Fountain City city,35852
FL,Pine Hills CDP,35854
IL,Palestine village,35855
KY,Lynch city,35855
PA,Cherry Tree borough,35865
VA,Oak Level CDP,35870
CO,Gunnison city,35871
MO,Auxvasse city,35875
PA,Somerset borough,35875
TX,Elkhart town,35875
OK,Snyder city,35884
MS,Taylorsville town,35885
TX,Floydada city,35885
OH,Ripley village,35887
MN,Sebeka city,35893
MO,McFall city,35893
OH,Green Camp village,35893
OK,Briggs CDP,35893
SD,Faulkton city,35893
WV,Paden City city,35898
NM,El Cerro Mission CDP,35901
GA,East Newnan CDP,35905
OH,Washington Court House city,35905
FL,Lake Panasoffkee CDP,35909
OH,Bowersville village,35909
OH,Millersburg village,35910
TN,Eagleton Village CDP,35913
AR,Yarborough Landing CDP,35917
WA,White Swan CDP,35917
IN,Petersburg city,35918
FL,Ocala city,35924
NY,Camden village,35926
TX,De Kalb city,35926
CA,Delano city,35933
AL,Carlisle-Rockledge CDP,35938
AK,Hooper Bay city,35938
IL,Beecher City village,35938
IL,Karnak village,35938
IL,Time village,35938
IA,Dawson city,35938
IA,Leland city,35938
KS,Emmett city,35938
KY,Island city,35938
KY,Kenton Vale city,35938
MI,Croswell city,35938
NV,Owyhee CDP,35938
NM,El Rito CDP,35938
NY,Fleischmanns village,35938
NY,Hammond village,35938
NY,Springwater Hamlet CDP,35938
NY,Wayland village,35938
OK,Lequire CDP,35938
OK,Vera town,35938
TX,Goree city,35938
TX,Grandfalls town,35938
TX,Whitewright town,35938
WV,Sutton town,35938
OH,Upper Sandusky city,35941
TX,Alpine city,35941
PA,Allison CDP,35943
ME,Belfast city,35946
OH,Bethel village,35947
AZ,Bullhead City city,35948
NE,Wymore city,35950
TX,Llano city,35950
WI,Marinette city,35954
SC,Ehrhardt town,35956
MI,Imlay City city,35958
WI,Milwaukee city,35958
VT,Stowe CDP,35963
OK,Drumright city,35964
TX,Combes town,35968
AL,Harpersville town,35972
CA,Goshen CDP,35972
IA,Mallard city,35972
KS,Cassoday city,35972
MO,Pilot Grove city,35972
NC,Tryon town,35972
ND,Rolette city,35972
OH,Mount Pleasant village,35972
TN,Hornbeak town,35972
AL,Boaz city,35974
NC,Gamewell town,35979
CA,Bertsch-Oceanview CDP,35980
AR,Bay city,35984
TN,Watertown city,35987
TX,Brady city,35987
CA,Bethel Island CDP,35988
MT,Lewistown city,35990
AL,Glenwood town,36000
GA,Whitesburg city,36000
IL,Ellisville village,36000
IA,Arispe city,36000
IA,Lansing city,36000
MT,Harlem city,36000
NE,Craig village,36000
ND,Columbus city,36000
ND,Egeland city,36000
OH,South Charleston village,36000
PA,Gettysburg borough,36000
WA,Cowiche CDP,36000
OR,Glasgow CDP,36012
KS,Stafford city,36016
MI,Constantine village,36016
OH,Perrysville village,36016
TX,Runge town,36016
FL,Ridge Manor CDP,36019
MI,Bessemer city,36020
MI,Fair Plain CDP,36022
KS,Osage City city,36023
MS,Carrollton town,36023
MS,Poplarville city,36023
MO,Lake Lafayette city,36023
LA,Violet CDP,36024
FL,Warrington CDP,36026
KY,Morehead city,36026
PA,Patton borough,36027
UT,Logan city,36032
MO,Ash Grove city,36034
OH,Crestline village,36036
TX,Dimmitt city,36038
WI,Menomonie city,36039
CA,Hat Creek CDP,36042
GA,Brinson town,36042
IL,Parkersburg village,36042
IN,Mount Carmel town,36042
KY,Hickory CDP,36042
MO,Avilla town,36042
MO,Camden city,36042
NE,Niobrara village,36042
NC,Maury CDP,36042
PA,Hooversville borough,36042
FL,Lake Alfred city,36045
TN,Hohenwald city,36050
TX,Brownfield city,36051
MN,Redby CDP,36053
ND,Maddock city,36058
WI,Tony village,36058
MN,Ely city,36059
IL,Tampico village,36061
NE,Mullen village,36061
OH,New Lexington village,36064
TX,Bartlett city,36065
